"Einheit";"Haus";"Wohnung";"Wohngebiet";"Geschoss";"Wohnfläche";"Raumanzahl";"Dusche";"Wanne";"Aufzug";"Balkon/Terasse";"Einstufung Mietkosten";"Geschlecht";"Einzug";"Wohndauer in Monaten";"Altereinstufung";"Personenanzahl";"Haustier";"Mahnverfahren"
72;2;16;"Innenstadt";"2. Obergeschoss";67.03;3;"nein";"ja";"nein";"nein";2;"W";01/01/21;35;4;1;"nein";"nein"
145;4;39;"Innenstadt";"2. Obergeschoss";70.96;3;"nein";"ja";"nein";"ja";3;"M";07/01/16;89;3;1;"nein";"nein"
156;5;45;"Innenstadt";"Erdgeschoss";67.12;3;"nein";"ja";"nein";"nein";2;"W";08/01/91;388;4;2;"nein";"nein"
91;3;32;"Innenstadt";"Erdgeschoss";66.37;3;"ja";"nein";"nein";"nein";2;"W";03/01/57;778;5;2;"nein";"nein"
91;3;32;"Innenstadt";"Erdgeschoss";66.37;3;"ja";"nein";"nein";"nein";3;"W";10/01/22;14;5;1;"nein";"nein"
53;3;21;"Innenstadt";"1. Obergeschoss";67.12;3;"nein";"ja";"nein";"nein";3;"W";12/01/17;57;5;1;"nein";"nein"
53;3;21;"Innenstadt";"1. Obergeschoss";67.12;3;"nein";"ja";"nein";"nein";3;"M";01/01/23;11;2;2;"nein";"nein"
243;1;49;"Innenstadt";"1. Obergeschoss";66.34;3;"nein";"ja";"nein";"nein";2;"M";04/01/09;176;4;3;"nein";"nein"
166;3;30;"Innenstadt";"2. Obergeschoss";67.12;3;"nein";"ja";"nein";"nein";3;"M";04/01/19;53;3;1;"nein";"nein"
103;1;19;"Innenstadt";"2. Obergeschoss";66.25;3;"nein";"ja";"nein";"nein";3;"W";02/01/12;142;3;1;"nein";"nein"
105;1;13;"Innenstadt";"Erdgeschoss";68.1;3;"nein";"ja";"nein";"nein";3;"W";08/01/04;232;4;2;"nein";"nein"
72;1;1;"Innenstadt";"1. Obergeschoss";67.63;3;"nein";"ja";"nein";"nein";3;"M";03/01/57;768;5;2;"nein";"nein"
72;1;1;"Innenstadt";"1. Obergeschoss";67.63;3;"nein";"ja";"nein";"nein";3;"M";03/01/22;21;2;1;"nein";"nein"
144;5;54;"Innenstadt";"2. Obergeschoss";68.1;3;"nein";"ja";"nein";"nein";2;"W";12/01/18;60;4;1;"nein";"nein"
353;2;20;"Innenstadt";"Erdgeschoss";54.1;2;"nein";"ja";"nein";"nein";2;"M";02/01/13;130;3;1;"nein";"nein"
41;3;17;"Innenstadt";"Erdgeschoss";60.07;3;"ja";"nein";"nein";"nein";3;"W";06/01/19;54;4;2;"nein";"nein"
122;5;50;"Innenstadt";"1. Obergeschoss";70.83;3;"ja";"ja";"nein";"nein";3;"M";05/01/04;235;4;3;"nein";"nein"
160;4;32;"Innenstadt";"1. Obergeschoss";68.87;3;"nein";"ja";"nein";"nein";3;"M";07/01/12;137;5;2;"nein";"nein"
152;3;28;"Innenstadt";"2. Obergeschoss";70.83;3;"nein";"ja";"nein";"nein";3;"W";04/01/18;68;3;3;"nein";"nein"
105;2;86;"Innenstadt";"2. Obergeschoss";67.59;3;"nein";"ja";"nein";"nein";2;"M";11/01/67;644;5;2;"nein";"nein"
105;2;86;"Innenstadt";"2. Obergeschoss";67.59;3;"nein";"ja";"nein";"nein";2;"W";08/01/21;28;4;1;"nein";"nein"
104;2;128;"Innenstadt";"3. Obergeschoss";68.89;3;"nein";"ja";"nein";"nein";3;"W";12/01/11;144;3;2;"nein";"nein"
74;3;30;"Innenstadt";"3. Obergeschoss";67.59;3;"nein";"ja";"nein";"nein";3;"W";07/01/15;101;3;3;"nein";"nein"
105;1;71;"Innenstadt";"Erdgeschoss";59.25;3;"ja";"ja";"nein";"nein";3;"W";04/01/20;44;2;2;"nein";"nein"
111;2;18;"Innenstadt";"Erdgeschoss";52.17;2;"ja";"ja";"nein";"nein";2;"M";02/01/20;46;2;1;"nein";"nein"
103;2;144;"Innenstadt";"1. Obergeschoss";69.52;3;"nein";"ja";"nein";"nein";3;"W";05/01/19;55;4;1;"nein";"nein"
71;2;16;"Innenstadt";"1. Obergeschoss";70.39;3;"ja";"nein";"nein";"nein";3;"M";06/01/18;34;2;1;"nein";"nein"
71;2;16;"Innenstadt";"1. Obergeschoss";70.39;3;"ja";"nein";"nein";"nein";3;"W";05/01/21;31;2;2;"ja";"nein"
125;7;68;"Innenstadt";"2. Obergeschoss";68.3;3;"nein";"ja";"nein";"nein";3;"M";06/01/20;42;3;1;"nein";"nein"
143;1;5;"Innenstadt";"2. Obergeschoss";69.77;3;"ja";"nein";"nein";"nein";3;"W";01/01/20;47;2;1;"nein";"nein"
17;2;10;"Innenstadt";"3. Obergeschoss";68.3;3;"nein";"ja";"nein";"nein";3;"W";02/01/16;94;3;1;"nein";"nein"
169;3;25;"Innenstadt";"3. Obergeschoss";69.41;3;"nein";"ja";"nein";"nein";3;"W";02/01/03;250;4;2;"nein";"nein"
27;1;3;"Innenstadt";"Erdgeschoss";67.08;3;"nein";"ja";"nein";"nein";3;"M";08/01/02;256;3;1;"nein";"nein"
151;5;48;"Innenstadt";"Erdgeschoss";71.76;3;"nein";"ja";"nein";"ja";3;"M";07/01/96;314;5;2;"nein";"nein"
151;5;48;"Innenstadt";"Erdgeschoss";71.76;3;"nein";"ja";"nein";"ja";3;"W";10/01/22;14;5;1;"nein";"nein"
40;1;4;"Innenstadt";"1. Obergeschoss";71.67;3;"nein";"ja";"nein";"ja";3;"W";06/01/93;366;4;1;"nein";"nein"
177;2;11;"Innenstadt";"1. Obergeschoss";71.76;3;"ja";"nein";"nein";"ja";3;"M";10/01/57;769;5;2;"nein";"nein"
177;2;11;"Innenstadt";"1. Obergeschoss";71.76;3;"ja";"nein";"nein";"ja";4;"M";02/01/23;10;4;2;"nein";"nein"
104;1;2;"Innenstadt";"2. Obergeschoss";71.67;3;"nein";"ja";"nein";"ja";3;"W";10/01/08;161;5;1;"nein";"nein"
104;1;2;"Innenstadt";"2. Obergeschoss";71.67;3;"nein";"ja";"nein";"ja";4;"M";03/01/23;9;2;2;"nein";"nein"
74;3;34;"Innenstadt";"2. Obergeschoss";71.76;3;"nein";"ja";"nein";"ja";3;"W";07/01/17;77;5;1;"nein";"nein"
111;4;37;"Innenstadt";"Erdgeschoss";71.33;3;"nein";"ja";"nein";"nein";3;"W";06/01/88;426;4;4;"nein";"nein"
28;2;10;"Innenstadt";"Erdgeschoss";69.81;3;"nein";"ja";"nein";"nein";3;"W";10/01/13;122;5;1;"nein";"nein"
124;3;30;"Innenstadt";"1. Obergeschoss";82.26;4;"nein";"ja";"nein";"ja";3;"W";05/01/06;211;4;1;"nein";"nein"
137;4;31;"Innenstadt";"1. Obergeschoss";74.41;3;"nein";"ja";"nein";"ja";2;"M";08/01/64;712;5;2;"nein";"nein"
210;1;9;"Innenstadt";"2. Obergeschoss";82.26;4;"nein";"ja";"nein";"ja";3;"W";07/01/96;329;5;1;"nein";"nein"
92;3;28;"Innenstadt";"2. Obergeschoss";74.41;3;"nein";"ja";"nein";"ja";3;"W";05/01/70;643;5;2;"nein";"nein"
133;6;62;"Innenstadt";"3. Obergeschoss";82.26;4;"nein";"ja";"nein";"ja";3;"W";02/01/10;166;3;3;"nein";"nein"
103;2;135;"Innenstadt";"3. Obergeschoss";69.81;3;"nein";"ja";"nein";"nein";3;"M";02/01/02;232;4;2;"nein";"nein"
103;2;135;"Innenstadt";"3. Obergeschoss";69.81;3;"nein";"ja";"nein";"nein";3;"W";07/01/21;29;4;1;"nein";"nein"
